Unnamed: 0,year,quarter,title,studio,castcrew,link_en,dates_raw,date_us,date_jp,delay
30,1994,Q2,Maverick,Warner Bros. Pictures / Icon Productions,"Richard Donner (director); William Goldman (screenplay); Mel Gibson, Jodie Foster, James Garner, Graham Greene, James Coburn, Alfred Molina, Dub Taylor, Dan Hedaya, Paul L. Smith, Geoffrey Lewis, Hal Ketchum, Corey Feldman, Read Morgan, Steve Kahan, Art LaFleur, Leo Gordon, Paul Brinegar, Denver Pyle, Robert Fuller, Doug McClure, Henry Darrow, William Smith, Charles Dierkop, William Marshall, Dennis Fimple, Bert Remsen, Carlene Carter, Waylon Jennings, Kathy Mattea, Reba McEntire, Clint Black, Vince Gill, Janis Gill",Maverick_(film),no_dates,,,
31,1994,Q2,The Return of Jafar,Walt Disney Home Video,"Tad Stones, Alan Zaslove (directors); Kevin Campell, Mirth Js Colao, Bill Motz, Steve Roberts, Dev Ross, Bob Roth, Jan Strnad, Brian Swenlin (screenplay); Scott Weinger, Linda Larkin, Jonathan Freeman, Gilbert Gottfried, Jason Alexander, Dan Castellaneta, Frank Welker, Val Bettin, Jim Cummings, Brad Kane, Liz Callaway, Jeff Bennett, B.J. Ward, Maurice LaMarche",The_Return_of_Jafar,no_dates,,,
32,1994,Q2,White Mile,HBO Pictures,"Robert Butler (director); Michael Butler (screenplay); Alan Alda, Peter Gallagher, Robert Loggia, Bruce Altman, Fionnula Flanagan, Jack Gilpin, Ken Jenkins, Dakin Matthews, Don McManus, Robert Picardo, Max Wright, Alice Barden, Tim Choate, Kevin Cooney, Cab Covay, Denny Delk, Nigel Gibbs, Dan Gilvezan, Rebecca Glenn, Jacqueline Kim, Eric Magneson, Danny Manning, Brian Markinson, Robin Goodrin Nordli, Brett Porter, Gina Ravera, Jack Shearer, Ben Sparks, Ken Thorley, Jenifer Wymore",White_Mile,no_ja,,,
33,1994,Q2,Beverly Hills Cop III,Paramount Pictures,"John Landis (director); Steven E. de Souza (screenplay); Eddie Murphy, Judge Reinhold, Héctor Elizondo, Timothy Carhart, John Saxon, Theresa Randle, Alan Young, Stephen McHattie, Tracy Melchior, Bronson Pinchot, Gil Hill, Jon Tenney, Lindsey Ginter, Dan Martin",Beverly_Hills_Cop_III,{{flagicon|USA}} 1994年5月25日<br /> {{flagicon|JPN}} 1994年9月24日,1994-05-25,1994-09-24,122.0
34,1994,Q2,The Flintstones,Universal Pictures / Amblin Entertainment,"Brian Levant (director); Tom S. Parker, Jim Jennewein, Steven E. de Souza (screenplay); John Goodman, Rick Moranis, Elizabeth Perkins, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Mel Blanc, Elaine & Melanie Silver, Hlynur & Marnio Sigurosson, Dann Florek, Richard Moll, Irwin Keyes, Jim Doughan, Harvey Korman, Jonathan Winters, Jack O'Halloran, The B-52's, Jean Vander Pyl, Laraine Newman, Jay Leno, William Hanna, Joseph Barbera, Sam Raimi",The_Flintstones_(film),{{flagicon|USA}} 1994年5月23日<br /> {{flagicon|JPN}} 1994年7月16日,1994-05-23,1994-07-16,54.0
35,1994,Q2,Little Buddha,Miramax Films,"Bernardo Bertolucci (director); Rudy Wurlitzer, Mark Peploe (screenplay); Keanu Reeves, Bridget Fonda, Chris Isaak, Ying Ruocheng, Rudraprasad Sengupta",Little_Buddha,{{flagicon|France}} 1993年12月1日<br /> {{flagicon|JPN}} 1994年5月14日,,1994-05-14,
36,1994,Q2,The Cowboy Way,Universal Pictures / Imagine Entertainment,"Gregg Champion (director); Rob Thompson (screenplay); Woody Harrelson, Kiefer Sutherland, Dylan McDermott, Ernie Hudson, Cara Buono, Marg Helgenberger, Tomas Milian, Luis Guzman, Allison Janney, Angel Caban, Matthew Cowles, Joaquin Martinez, Kristin Baer, Christian Aubert, Emmanuel Xuereb, Francie Swift, Christopher Durang, Jose Zuniga, Travis Tritt",The_Cowboy_Way_(film),{{flagicon|USA}} 1994年6月3日<br> {{flagicon|JPN}} 劇場未公開,1994-06-03,,
37,1994,Q2,The Endless Summer II,New Line Cinema,"Bruce Brown (director/screenplay); Dana Brown (screenplay); Robert ""Wingnut"" Weaver, Pat O'Connell",The_Endless_Summer_II,no_ja,,,
38,1994,Q2,Fear of a Black Hat,The Samuel Goldwyn Company,"Rusty Cundieff (director/screenplay); Rusty Cundieff, Larry B. Scott, Mark Christopher Lawrence",Fear_of_a_Black_Hat,no_ja,,,
39,1994,Q2,Renaissance Man,Touchstone Pictures / Cinergi Pictures,"Penny Marshall (director); Jim Burnstein (screenplay); Danny DeVito, Gregory Hines, James Remar, Cliff Robertson, Ed Begley Jr., Lillo Brancato, Jr., Stacey Dash, Kadeem Hardison, Richard T. Jones, Khalil Kain, Peter Simmons, Gregory Sporleder, Mark Wahlberg, Alanna Ubach, Isabella Hofmann",Renaissance_Man_(film),{{flagicon|USA}} 1994年6月3日<br /> {{flagicon|JPN}} 1995年1月28日,1994-06-03,1995-01-28,239.0
